t,dbm
51.589,-58
51.704,-58
51.816,-58
51.929,-59
52.041,-58
52.156,-58
52.269,-58
52.381,-58
52.493,-57
52.609,-57
52.723,-58
52.834,-58
52.946,-58
53.059,-58
53.174,-58
53.287,-58
53.399,-58
53.511,-58
53.624,-58
53.74,-58
53.851,-58
53.963,-58
54.076,-58
54.191,-58
54.304,-58
54.416,-58
54.531,-58
54.647,-58
54.759,-57
54.871,-57
54.983,-57
55.099,-57
55.211,-57
55.323,-58
55.436,-58
55.551,-58
55.665,-59
55.776,-59
55.888,-58
56.004,-58
56.119,-59
56.231,-60
56.343,-60
56.455,-60
56.57,-60
56.683,-59
56.794,-58
56.906,-58
57.022,-57
57.136,-57
57.248,-57
57.36,-57
57.476,-57
57.591,-57
57.704,-57
57.816,-57
57.928,-57
58.043,-57
58.156,-57
58.269,-57
58.381,-57
58.496,-57
58.608,-57
58.72,-57
58.832,-57
58.944,-58
59.059,-58
59.172,-57
59.284,-57
59.399,-57
59.515,-57
59.628,-57
59.741,-57
59.855,-57
59.971,-57
