t,dbm
51.645,-47
51.761,-47
51.873,-48
51.986,-48
52.101,-48
52.215,-47
52.327,-47
52.444,-48
52.556,-48
52.671,-47
52.783,-48
52.896,-48
53.008,-48
53.12,-48
53.233,-48
53.345,-48
53.456,-48
53.571,-48
53.685,-48
53.798,-48
53.91,-48
54.024,-48
54.14,-47
54.252,-47
54.364,-47
54.478,-48
54.594,-48
54.706,-48
54.818,-48
54.934,-48
55.049,-48
55.162,-47
55.274,-47
55.386,-48
55.502,-48
55.614,-48
55.726,-48
55.839,-48
55.954,-48
56.065,-47
56.177,-48
56.289,-48
56.405,-48
56.518,-47
56.629,-47
56.741,-47
56.856,-47
56.972,-47
57.084,-47
57.196,-48
57.308,-48
57.42,-48
57.533,-48
57.645,-48
57.757,-48
57.873,-47
57.985,-48
58.098,-48
58.21,-48
58.325,-48
58.44,-48
58.552,-48
58.664,-48
58.78,-48
58.894,-48
59.006,-48
59.118,-48
59.23,-48
59.346,-47
59.457,-47
59.569,-47
59.681,-48
59.797,-48
59.909,-48
