t,dbm
51.315,-56
51.426,-56
51.541,-57
51.654,-56
51.766,-56
51.879,-55
51.991,-55
52.107,-55
52.219,-55
52.33,-55
52.442,-56
52.554,-56
52.669,-56
52.781,-55
52.894,-54
53.009,-54
53.124,-56
53.236,-55
53.348,-55
53.46,-54
53.575,-54
53.688,-55
53.8,-55
53.912,-55
54.028,-56
54.14,-55
54.256,-56
54.368,-56
54.483,-56
54.595,-56
54.707,-56
54.819,-56
54.934,-55
55.048,-55
55.16,-56
55.273,-57
55.387,-57
55.502,-56
55.615,-56
55.727,-56
55.842,-56
55.958,-56
56.07,-55
56.182,-55
56.298,-55
56.412,-56
56.524,-56
56.636,-56
56.748,-56
56.863,-56
56.974,-56
57.087,-56
57.198,-57
57.313,-58
57.425,-60
57.538,-59
57.65,-59
57.765,-59
57.878,-59
57.991,-60
58.103,-58
58.216,-58
58.331,-58
58.443,-58
58.556,-58
58.671,-58
58.786,-58
58.899,-59
59.011,-59
59.127,-58
59.242,-57
59.354,-58
59.467,-59
59.579,-59
59.692,-59
59.807,-59
59.92,-58
60.032,-58
60.147,-57
60.263,-58
60.374,-58
60.486,-59
60.598,-60
60.713,-60
60.826,-59
60.938,-59
61.05,-58
61.165,-59
61.28,-58
61.392,-58
61.503,-58
61.615,-58
61.728,-58
61.839,-59
61.951,-59
62.063,-59
62.176,-58
62.29,-57
62.402,-58
62.514,-58
62.63,-59
62.745,-59
62.858,-58
62.97,-58
63.085,-58
63.201,-59
63.312,-58
63.425,-58
63.54,-58
63.656,-58
63.768,-59
63.88,-59
63.996,-60
64.11,-59
64.223,-59
64.335,-59
64.451,-59
64.566,-58
64.678,-58
64.79,-58
64.906,-58
65.021,-58
65.134,-58
65.246,-58
65.36,-59
65.475,-59
65.587,-59
65.699,-58
65.814,-58
65.929,-58
66.042,-59
66.153,-59
66.268,-58
66.382,-57
66.494,-59
66.607,-61
66.722,-63
66.838,-63
66.95,-61
67.062,-61
67.178,-61
67.294,-61
67.405,-61
67.517,-61
67.632,-60
67.748,-62
67.861,-62
67.973,-62
68.088,-62
68.204,-60
68.316,-59
68.429,-59
68.542,-59
68.658,-57
68.77,-56
68.883,-56
68.996,-56
69.109,-56
69.225,-56
69.337,-56
69.449,-57
69.564,-56
69.68,-58
69.793,-58
69.906,-57
70.022,-55
70.137,-55
70.25,-56
70.362,-56
70.478,-56
70.592,-56
70.705,-56
70.817,-56
70.933,-56
71.047,-56
71.16,-56
71.271,-56
71.383,-57
71.499,-58
71.612,-57
71.725,-56
71.838,-57
71.953,-57
72.068,-58
72.18,-57
72.292,-57
72.403,-56
72.519,-56
72.632,-56
72.744,-56
72.857,-57
72.972,-57
73.084,-57
73.197,-57
73.309,-56
73.424,-57
73.539,-57
73.652,-57
73.765,-56
73.88,-56
73.996,-56
74.109,-56
74.221,-56
74.336,-56
74.452,-56
74.564,-56
74.677,-56
74.789,-57
74.904,-57
75.019,-57
75.135,-56
75.248,-56
75.359,-55
75.472,-55
75.584,-57
75.697,-58
75.809,-56
75.922,-56
76.034,-56
76.147,-57
76.264,-56
76.376,-57
76.489,-56
76.602,-56
76.714,-56
76.827,-56
76.939,-56
77.051,-56
77.164,-57
77.277,-57
77.389,-56
77.504,-56
77.615,-55
77.731,-56
77.843,-57
77.956,-57
78.071,-57
78.184,-56
78.296,-56
78.408,-56
78.52,-56
78.633,-57
78.745,-57
78.858,-57
78.973,-56
79.089,-56
79.204,-56
79.319,-56
79.435,-57
79.548,-57
79.66,-56
79.773,-56
79.885,-55
80.0,-55
80.111,-55
80.223,-55
80.334,-56
80.447,-56
80.559,-57
80.672,-57
80.784,-57
80.9,-58
81.016,-58
81.128,-58
81.241,-57
81.354,-57
81.466,-57
81.578,-57
81.691,-56
81.803,-56
81.916,-56
82.028,-55
82.141,-55
82.257,-56
82.368,-56
82.481,-56
82.593,-56
82.706,-56
82.821,-56
82.935,-56
83.048,-56
83.159,-56
83.271,-55
83.387,-56
83.5,-56
83.612,-56
83.724,-55
83.837,-55
83.949,-55
84.064,-55
84.177,-55
84.289,-56
84.401,-55
84.514,-55
84.626,-57
84.739,-57
84.851,-57
84.964,-56
85.076,-56
85.188,-56
85.3,-56
85.412,-56
85.528,-57
85.64,-56
85.752,-56
85.865,-56
85.98,-56
86.093,-57
86.205,-56
86.317,-56
86.43,-56
86.543,-57
86.655,-57
86.768,-57
86.88,-56
86.993,-56
87.105,-56
87.218,-57
87.333,-57
87.448,-57
87.56,-56
87.673,-56
87.785,-56
87.901,-56
88.016,-56
88.131,-57
88.244,-58
88.357,-58
88.469,-58
88.582,-57
88.697,-56
88.812,-56
88.925,-56
89.037,-57
89.148,-56
89.264,-56
89.375,-55
89.488,-55
89.6,-55
89.712,-55
89.828,-55
89.943,-55
90.056,-55
90.168,-55
90.28,-56
90.392,-56
90.507,-56
90.623,-56
90.735,-56
90.851,-56
90.966,-55
91.081,-55
91.195,-55
91.307,-56
91.418,-56
91.53,-56
91.642,-57
91.758,-57
91.874,-57
91.989,-57
92.101,-57
92.214,-57
92.325,-57
92.436,-57
92.552,-57
92.667,-58
92.78,-58
92.891,-57
93.003,-57
93.116,-56
93.227,-56
93.338,-57
93.451,-56
93.563,-55
93.676,-55
93.788,-56
93.9,-56
94.012,-56
94.125,-56
94.237,-55
94.348,-55
94.461,-56
94.573,-55
94.684,-56
94.796,-56
94.908,-56
95.02,-56
95.132,-56
95.245,-56
95.356,-57
95.468,-57
95.581,-58
95.693,-58
95.808,-58
95.92,-56
96.033,-56
96.145,-56
96.257,-56
96.37,-55
96.482,-56
96.595,-56
96.707,-56
96.819,-56
96.933,-56
97.045,-56
97.158,-56
97.269,-56
97.38,-56
97.492,-56
97.605,-56
97.717,-56
97.83,-56
97.942,-56
98.054,-57
98.165,-57
98.278,-57
98.389,-56
98.504,-56
98.616,-56
98.729,-56
98.841,-56
98.952,-56
99.063,-56
99.179,-56
99.293,-56
99.408,-56
99.519,-55
99.631,-55
99.743,-55
99.856,-55
99.967,-56
100.079,-56
100.193,-56
100.305,-56
100.417,-56
100.529,-56
100.644,-56
100.756,-56
100.868,-57
100.981,-56
101.093,-56
101.205,-56
101.318,-56
101.429,-56
101.542,-56
101.654,-57
101.767,-57
101.882,-57
101.994,-56
102.11,-56
102.226,-56
102.337,-56
102.449,-56
102.561,-56
102.674,-56
102.786,-56
102.9,-56
103.016,-57
103.128,-56
103.241,-57
103.352,-58
103.464,-57
103.58,-57
103.695,-56
103.808,-56
103.92,-56
104.032,-56
104.145,-56
104.257,-57
104.372,-57
104.484,-56
104.596,-57
104.708,-57
104.82,-55
104.933,-55
105.048,-55
105.163,-55
105.279,-56
105.395,-56
105.506,-56
105.618,-56
105.73,-55
105.843,-55
105.955,-55
106.071,-55
106.186,-55
106.302,-55
106.417,-55
106.53,-55
106.642,-55
106.754,-55
106.867,-56
106.979,-56
107.092,-56
107.204,-56
107.316,-56
107.428,-56
107.543,-56
107.656,-56
107.768,-56
107.883,-56
107.996,-56
108.108,-57
108.223,-57
108.335,-57
108.447,-56
108.559,-57
108.672,-56
108.787,-56
108.9,-56
109.012,-56
109.124,-56
109.237,-56
109.348,-57
109.46,-57
109.573,-56
109.685,-56
109.797,-56
109.91,-56
110.025,-57
110.137,-56
110.25,-56
110.361,-56
110.474,-56
110.586,-56
110.698,-56
110.811,-56
110.923,-55
111.035,-55
111.148,-56
111.264,-57
111.376,-57
111.489,-56
111.601,-56
111.716,-57
111.828,-57
111.941,-57
112.053,-57
112.165,-56
112.278,-56
112.389,-56
112.501,-55
112.612,-55
112.728,-55
112.843,-56
112.955,-57
113.068,-57
113.179,-57
113.291,-56
113.403,-55
113.515,-55
113.627,-55
113.739,-55
113.856,-57
113.97,-57
114.082,-57
114.195,-55
114.306,-55
114.417,-55
114.532,-55
