t,dbm
0.011,-42
0.118,-43
0.226,-42
0.333,-42
0.441,-42
0.549,-42
0.656,-42
0.764,-43
0.872,-43
0.98,-43
1.088,-45
1.196,-43
1.303,-43
1.411,-42
1.522,-43
1.633,-43
1.744,-42
1.852,-42
1.96,-42
2.067,-42
2.175,-41
2.286,-41
2.397,-41
2.505,-42
2.612,-42
2.72,-42
2.828,-42
2.936,-43
3.047,-43
3.154,-42
3.263,-42
3.37,-44
3.478,-44
3.586,-45
3.694,-45
3.805,-44
3.92,-44
4.032,-46
4.145,-46
4.26,-44
4.375,-42
4.486,-42
4.599,-43
4.714,-43
4.83,-44
4.942,-44
5.053,-44
5.165,-44
5.28,-44
5.393,-46
5.505,-46
5.616,-46
5.731,-46
5.844,-53
5.956,-54
6.069,-52
6.184,-47
6.296,-46
6.409,-47
6.521,-47
6.636,-45
6.751,-43
6.864,-42
6.976,-43
7.092,-42
7.207,-41
7.32,-42
7.432,-45
7.544,-46
7.66,-45
7.772,-45
7.884,-47
7.997,-48
8.112,-48
8.224,-46
8.337,-46
8.449,-49
8.561,-49
8.676,-50
8.788,-52
8.901,-48
9.013,-46
9.128,-46
9.24,-45
9.352,-44
9.465,-44
9.58,-46
9.692,-48
9.805,-50
9.917,-48
10.032,-47
10.144,-46
10.256,-45
10.369,-45
10.484,-43
10.597,-42
10.712,-42
10.824,-42
10.936,-43
11.052,-44
11.167,-45
11.28,-46
11.392,-46
11.504,-46
11.619,-46
11.731,-46
11.844,-46
11.956,-46
12.071,-46
12.184,-46
12.296,-46
12.408,-46
12.524,-46
12.636,-46
12.748,-44
12.86,-45
12.972,-46
13.088,-48
13.2,-49
13.312,-49
13.425,-53
13.54,-53
13.652,-52
13.765,-50
13.877,-49
13.992,-49
14.107,-51
14.219,-51
14.332,-51
14.444,-51
14.556,-51
14.669,-50
14.781,-50
14.896,-50
15.011,-46
15.124,-41
15.235,-41
15.347,-40
15.463,-40
15.575,-43
15.686,-43
15.799,-42
15.914,-40
16.027,-41
16.14,-42
16.252,-43
16.368,-43
16.483,-44
16.594,-44
16.706,-44
16.822,-43
16.936,-43
17.048,-44
17.161,-44
17.276,-46
17.391,-46
17.504,-46
17.615,-45
17.731,-46
17.846,-46
17.958,-46
18.071,-46
18.186,-46
18.301,-46
18.414,-45
18.525,-44
18.636,-43
18.749,-43
18.863,-43
18.975,-42
19.088,-42
19.203,-41
19.319,-42
19.431,-43
19.542,-42
19.657,-42
19.772,-42
19.884,-42
19.997,-44
20.112,-44
20.227,-44
20.34,-43
20.452,-42
20.568,-42
20.684,-43
20.796,-44
20.908,-44
21.024,-46
21.139,-46
21.252,-46
21.364,-47
21.48,-46
21.594,-46
21.706,-45
21.819,-45
21.931,-45
22.046,-46
22.159,-45
22.271,-45
22.384,-43
22.498,-43
22.61,-42
22.723,-42
22.835,-42
22.95,-42
23.064,-41
23.176,-44
23.288,-44
23.404,-42
23.519,-46
23.63,-46
23.742,-41
23.858,-39
23.973,-43
24.086,-48
24.198,-52
24.313,-54
24.428,-57
24.54,-55
24.651,-52
24.764,-45
24.879,-42
24.992,-39
25.104,-38
25.219,-40
25.335,-42
25.447,-42
25.558,-39
25.67,-37
25.786,-37
25.9,-37
26.012,-39
26.125,-39
26.24,-39
26.354,-38
26.466,-38
26.577,-38
26.69,-38
26.805,-37
26.918,-37
27.029,-38
27.141,-40
27.256,-41
27.369,-43
27.481,-41
27.594,-40
27.709,-37
27.824,-37
27.936,-37
28.049,-37
28.161,-39
28.276,-40
28.388,-39
28.501,-39
28.613,-38
28.724,-37
28.837,-37
28.949,-38
29.06,-40
29.173,-40
29.285,-38
29.397,-38
29.509,-37
29.622,-37
29.734,-39
29.846,-42
29.959,-43
30.07,-42
30.182,-42
30.294,-43
30.41,-43
30.522,-46
30.633,-49
30.745,-49
30.861,-48
30.976,-48
31.088,-46
31.201,-45
31.316,-43
31.432,-43
31.544,-43
31.655,-44
31.767,-45
31.882,-45
31.995,-43
32.106,-43
32.218,-42
32.334,-42
32.447,-42
32.559,-43
32.67,-43
32.786,-44
32.901,-45
33.013,-46
33.126,-46
33.241,-45
33.356,-44
33.468,-44
33.579,-44
33.692,-44
33.807,-43
33.92,-45
34.032,-45
34.145,-45
34.26,-46
34.372,-46
34.485,-46
34.596,-48
34.708,-48
34.824,-48
34.939,-49
35.051,-48
35.164,-49
35.276,-50
35.391,-49
35.504,-48
35.617,-48
35.729,-49
35.841,-49
35.953,-50
36.066,-49
36.179,-48
36.291,-48
36.402,-47
36.515,-47
36.629,-48
36.742,-48
36.854,-47
36.966,-48
37.082,-48
37.194,-47
37.307,-49
37.419,-48
37.53,-48
37.643,-48
37.758,-48
37.87,-50
37.983,-47
38.095,-48
38.211,-48
38.323,-49
38.435,-48
38.547,-49
38.662,-50
38.774,-49
38.887,-48
38.999,-47
39.111,-50
39.223,-50
39.338,-48
39.451,-47
39.563,-48
39.675,-49
39.791,-48
39.907,-48
40.022,-48
40.134,-48
40.247,-47
40.359,-48
40.471,-49
40.586,-51
40.698,-50
40.811,-49
40.923,-48
41.036,-48
41.147,-50
41.259,-50
41.372,-49
41.484,-48
41.599,-48
41.711,-48
41.824,-48
41.936,-49
42.049,-49
42.164,-49
42.279,-48
42.392,-47
42.504,-47
42.619,-48
42.731,-49
42.844,-48
42.956,-47
43.069,-46
43.184,-46
43.297,-46
43.409,-47
43.521,-47
43.636,-48
43.748,-48
43.86,-50
43.973,-49
44.085,-48
44.2,-48
44.315,-48
44.428,-47
44.541,-46
44.652,-47
44.764,-47
44.879,-48
44.992,-48
