t,dbm
0.008,-56
0.115,-48
0.223,-49
0.33,-49
0.437,-51
0.545,-50
0.656,-48
0.767,-47
0.876,-44
0.984,-42
1.091,-44
1.199,-46
1.307,-51
1.418,-55
1.529,-53
1.637,-48
1.745,-40
1.853,-41
1.96,-48
2.071,-52
2.182,-53
2.292,-55
2.4,-57
2.507,-59
2.615,-58
2.723,-56
2.834,-56
2.945,-54
3.053,-50
3.161,-52
3.269,-57
3.377,-61
3.488,-61
3.599,-61
3.707,-61
3.815,-60
3.928,-60
4.04,-60
4.156,-60
4.268,-59
4.381,-57
4.493,-57
4.608,-58
4.723,-59
4.834,-57
4.946,-58
5.058,-59
5.173,-60
5.286,-60
5.398,-59
5.51,-58
5.625,-57
5.737,-55
5.849,-55
5.961,-56
6.074,-56
6.189,-54
6.301,-54
6.414,-59
6.529,-60
6.645,-60
6.756,-61
6.868,-62
6.984,-60
7.099,-60
7.212,-61
7.324,-60
7.44,-61
7.555,-60
7.667,-60
7.779,-59
7.893,-60
8.009,-57
8.121,-56
8.233,-55
8.348,-54
8.463,-52
8.576,-51
8.688,-51
8.802,-52
8.917,-51
9.03,-48
9.142,-47
9.254,-46
9.369,-49
9.485,-56
9.597,-62
9.71,-61
9.824,-59
9.94,-60
10.052,-58
10.164,-56
10.28,-55
10.396,-56
10.508,-53
10.62,-54
10.736,-55
10.851,-55
10.963,-50
11.076,-48
11.188,-47
11.304,-47
11.417,-47
11.529,-47
11.641,-46
11.757,-46
11.872,-45
11.984,-47
12.096,-52
12.209,-55
12.323,-57
12.435,-50
12.548,-49
12.66,-51
12.776,-51
12.888,-49
13.001,-49
13.113,-49
13.229,-50
13.341,-51
13.454,-51
13.566,-52
13.682,-52
13.795,-53
13.908,-54
14.02,-51
14.136,-48
14.249,-48
14.362,-49
14.474,-49
14.586,-47
14.701,-45
14.814,-43
14.926,-42
15.041,-44
15.157,-48
15.268,-52
15.38,-53
15.493,-48
15.608,-41
15.72,-38
15.832,-38
15.945,-42
16.06,-42
16.173,-41
16.285,-43
16.398,-43
16.512,-44
16.628,-46
16.739,-50
16.851,-50
16.967,-50
17.083,-53
17.195,-53
17.307,-54
17.423,-57
17.537,-60
17.65,-61
17.761,-59
17.876,-58
17.992,-58
18.104,-58
18.217,-59
18.329,-58
18.445,-60
18.557,-62
18.67,-62
18.781,-62
18.897,-61
19.009,-61
19.122,-60
19.234,-61
19.349,-62
19.462,-62
19.574,-61
19.687,-61
19.801,-63
19.914,-64
20.027,-60
20.139,-60
20.255,-58
20.369,-58
20.482,-56
20.594,-57
20.709,-56
20.823,-56
20.936,-56
21.047,-58
21.162,-59
21.277,-61
21.39,-61
21.502,-62
21.614,-61
21.729,-62
21.841,-60
21.953,-59
22.066,-58
22.181,-59
22.294,-59
22.405,-61
22.516,-58
22.631,-58
22.746,-57
22.858,-58
22.97,-58
23.085,-59
23.2,-60
23.313,-61
23.425,-59
23.541,-57
23.656,-56
23.767,-55
23.879,-56
23.992,-54
24.104,-57
24.217,-60
24.329,-60
24.445,-61
24.56,-61
24.673,-62
24.784,-61
24.897,-59
25.012,-60
25.125,-61
25.237,-64
25.35,-63
25.465,-64
25.579,-63
25.691,-61
25.803,-58
25.917,-55
26.033,-56
26.145,-60
26.256,-61
26.368,-61
26.481,-61
26.593,-58
26.709,-54
26.82,-48
26.932,-48
27.045,-47
27.16,-48
27.273,-48
27.385,-50
27.498,-50
27.613,-50
27.726,-54
27.837,-56
27.95,-56
28.065,-55
28.181,-54
28.293,-54
28.406,-52
28.521,-51
28.637,-53
28.748,-56
28.86,-56
28.976,-56
29.092,-58
29.204,-59
29.317,-59
29.429,-59
29.545,-58
29.657,-60
29.768,-61
29.881,-64
29.996,-63
30.108,-60
30.221,-60
30.333,-60
30.449,-62
30.56,-62
30.676,-62
30.787,-62
30.903,-63
31.015,-66
31.128,-66
31.24,-67
31.356,-66
31.471,-66
31.584,-64
31.696,-63
31.812,-62
31.927,-60
32.04,-60
32.152,-60
32.264,-59
32.38,-60
32.492,-60
32.605,-60
32.717,-60
32.833,-60
32.945,-60
33.058,-60
33.17,-60
33.285,-60
33.397,-60
33.509,-60
33.622,-61
33.734,-61
33.849,-60
33.962,-60
34.074,-59
34.186,-59
34.301,-60
34.417,-59
34.529,-60
34.641,-61
34.757,-61
34.872,-62
34.984,-60
35.097,-60
35.209,-61
35.324,-62
35.437,-61
35.549,-64
35.662,-65
35.777,-65
35.89,-63
36.001,-60
36.113,-59
36.228,-59
36.341,-61
36.453,-64
36.566,-65
36.681,-64
36.793,-64
36.906,-61
37.018,-59
37.13,-59
37.245,-60
37.356,-63
37.469,-61
37.581,-61
37.696,-60
37.809,-63
37.922,-61
38.033,-59
38.148,-55
38.264,-53
38.376,-55
38.489,-56
38.601,-60
38.717,-58
38.83,-55
38.942,-53
39.054,-56
39.169,-57
39.282,-55
39.393,-58
39.506,-58
39.618,-61
39.732,-62
39.844,-62
39.955,-61
40.071,-60
40.186,-60
40.299,-62
40.411,-63
40.526,-62
40.641,-64
40.752,-67
40.864,-67
40.98,-65
41.095,-64
41.208,-63
41.32,-63
41.436,-63
41.551,-63
41.664,-62
41.775,-63
41.89,-62
42.005,-64
42.118,-62
42.23,-64
42.345,-62
42.461,-61
42.573,-58
42.684,-61
42.799,-61
42.913,-61
43.026,-57
43.138,-58
43.253,-57
43.369,-55
43.481,-56
43.594,-57
43.709,-58
43.825,-60
43.937,-59
44.05,-60
44.165,-59
44.28,-61
44.392,-62
44.505,-62
44.62,-61
44.735,-61
44.846,-61
44.959,-60
