t,dbm
0.008,-63
0.115,-64
0.223,-66
0.33,-66
0.438,-66
0.546,-65
0.653,-65
0.761,-65
0.869,-67
0.977,-66
1.085,-66
1.193,-69
1.301,-69
1.408,-73
1.516,-69
1.627,-69
1.738,-67
1.846,-67
1.954,-64
2.062,-65
2.17,-66
2.277,-68
2.388,-68
2.496,-69
2.604,-67
2.712,-69
2.82,-68
2.928,-66
3.036,-64
3.144,-66
3.254,-67
3.362,-68
3.473,-68
3.584,-73
3.692,-73
3.8,-74
3.912,-73
4.024,-70
4.139,-70
4.251,-70
4.364,-70
4.476,-74
4.591,-76
4.707,-68
4.82,-67
4.932,-68
5.044,-68
5.159,-70
5.272,-70
5.384,-69
5.497,-69
5.609,-69
5.725,-69
5.839,-68
5.95,-68
6.062,-67
6.173,-65
6.287,-65
6.4,-65
6.515,-65
6.627,-65
6.74,-66
6.852,-66
6.964,-65
7.076,-65
7.191,-65
7.304,-65
7.416,-64
7.529,-64
7.643,-62
7.759,-62
7.871,-62
7.982,-62
8.095,-63
8.209,-65
8.323,-66
8.436,-70
8.548,-70
8.664,-69
8.779,-67
8.891,-64
9.004,-61
9.119,-61
9.235,-63
9.348,-62
9.46,-62
9.572,-62
9.685,-62
9.799,-63
9.915,-63
10.031,-65
10.144,-67
10.256,-70
10.369,-71
10.481,-71
10.593,-71
10.707,-68
10.822,-68
10.935,-66
11.047,-66
11.16,-65
11.272,-65
11.384,-66
11.499,-65
11.615,-64
11.728,-64
11.84,-64
11.951,-64
12.065,-65
12.178,-65
12.29,-62
12.402,-61
12.516,-60
12.63,-60
12.742,-60
12.855,-61
12.966,-61
13.078,-61
13.191,-59
13.303,-59
13.416,-60
13.528,-60
13.643,-62
13.756,-62
13.868,-62
13.98,-61
14.092,-60
14.207,-59
14.32,-59
14.432,-60
14.545,-60
14.657,-60
14.773,-60
14.887,-60
15.0,-60
15.112,-58
15.225,-57
15.339,-57
15.455,-58
15.566,-63
15.678,-62
15.791,-64
15.903,-63
16.019,-62
16.131,-59
16.244,-60
16.355,-63
16.47,-63
16.583,-63
16.695,-62
16.808,-61
16.919,-60
17.032,-59
17.144,-60
17.259,-60
17.37,-61
17.486,-61
17.598,-60
17.711,-59
17.826,-59
17.938,-59
18.049,-60
18.161,-62
18.274,-63
18.386,-62
18.499,-60
18.612,-60
18.724,-61
18.839,-61
18.95,-62
19.062,-62
19.175,-63
19.287,-64
19.399,-65
19.51,-65
19.623,-65
19.735,-64
19.847,-63
19.958,-63
20.071,-63
20.184,-62
20.296,-62
20.408,-64
20.523,-65
20.639,-69
20.751,-68
20.864,-68
20.977,-64
21.092,-63
21.204,-62
21.316,-58
21.429,-57
21.541,-57
21.655,-57
21.768,-57
21.879,-57
21.992,-58
22.107,-58
22.22,-58
22.332,-58
22.444,-57
22.559,-57
22.672,-60
22.784,-61
22.896,-62
23.008,-63
23.123,-62
23.236,-61
23.347,-60
23.459,-60
23.572,-61
23.684,-61
23.798,-61
23.909,-61
24.022,-62
24.134,-62
24.249,-63
24.362,-62
24.474,-60
24.586,-60
24.699,-60
24.811,-63
24.922,-64
25.035,-63
25.147,-62
25.26,-62
25.372,-63
25.488,-63
25.6,-63
25.712,-63
25.824,-63
25.936,-64
26.051,-64
26.162,-65
26.274,-65
26.387,-66
26.499,-64
26.612,-64
26.727,-64
26.839,-64
26.95,-65
27.062,-64
27.178,-63
27.291,-63
27.404,-63
27.516,-64
27.631,-64
27.744,-65
27.857,-66
27.968,-67
28.081,-66
28.193,-66
28.304,-66
28.416,-66
28.529,-64
28.641,-64
28.755,-64
28.868,-63
28.98,-63
29.095,-63
29.211,-63
29.323,-64
29.436,-65
29.548,-64
29.663,-64
29.776,-64
29.887,-66
29.998,-66
30.11,-65
30.226,-64
30.338,-63
30.451,-63
30.563,-65
30.678,-65
30.791,-65
30.902,-64
31.014,-66
31.129,-66
31.24,-67
31.353,-67
31.465,-67
31.577,-67
31.69,-68
31.802,-67
31.913,-67
32.026,-66
32.138,-66
32.254,-68
32.365,-67
32.477,-65
32.59,-63
32.702,-63
32.814,-63
32.928,-62
33.041,-60
33.153,-60
33.265,-60
33.381,-60
33.493,-60
33.607,-60
33.718,-61
33.83,-62
33.942,-62
34.056,-63
34.168,-63
34.28,-63
34.393,-62
34.505,-62
34.617,-61
34.729,-60
34.842,-63
34.953,-64
35.067,-65
35.183,-65
35.295,-65
35.408,-67
35.52,-67
35.635,-66
35.75,-65
35.863,-63
35.974,-63
36.085,-64
36.2,-63
36.313,-63
36.425,-64
36.538,-64
36.65,-65
36.765,-63
36.878,-64
36.989,-64
37.101,-64
37.213,-64
37.325,-64
37.437,-64
37.549,-64
37.66,-64
37.772,-63
37.887,-63
38.0,-63
38.112,-63
38.223,-63
38.336,-62
38.448,-62
38.561,-61
38.674,-61
38.786,-61
38.897,-62
39.011,-62
39.124,-62
39.237,-61
39.349,-61
39.462,-62
39.577,-63
39.688,-63
39.799,-64
39.911,-64
40.027,-64
40.139,-65
40.251,-65
40.364,-65
40.476,-64
40.588,-63
40.703,-64
40.816,-65
40.928,-66
41.039,-64
41.151,-63
41.267,-63
41.379,-62
41.49,-63
41.601,-63
41.715,-63
41.827,-61
41.939,-61
42.051,-60
42.163,-61
42.275,-61
42.391,-61
42.505,-62
42.617,-62
42.729,-61
42.841,-61
42.952,-61
43.064,-62
43.179,-62
43.291,-64
43.403,-64
43.514,-64
43.627,-63
43.738,-63
43.851,-62
43.963,-62
44.076,-62
44.188,-63
44.301,-62
44.413,-63
44.525,-63
44.636,-62
44.749,-62
44.865,-62
44.976,-64
