t,dbm
0.008,-46
0.115,-47
0.225,-47
0.333,-47
0.44,-47
0.548,-47
0.656,-48
0.764,-49
0.874,-48
0.985,-48
1.093,-49
1.204,-49
1.312,-48
1.419,-48
1.527,-47
1.635,-47
1.743,-47
1.851,-47
1.961,-48
2.069,-48
2.178,-47
2.285,-49
2.393,-50
2.501,-50
2.616,-49
2.728,-48
2.844,-46
2.956,-47
3.069,-48
3.181,-47
3.296,-47
3.408,-47
3.521,-48
3.639,-47
3.755,-47
3.869,-47
3.983,-47
4.098,-47
4.212,-47
4.325,-47
4.442,-47
4.556,-48
4.673,-49
4.791,-48
4.904,-48
5.016,-48
5.129,-48
5.244,-48
5.356,-48
5.469,-46
5.581,-43
5.692,-41
5.807,-42
5.92,-43
6.032,-43
6.148,-42
6.263,-43
6.375,-43
6.488,-42
6.6,-41
6.715,-41
6.828,-40
6.94,-41
7.056,-41
7.172,-41
7.284,-41
7.397,-43
7.509,-43
7.624,-49
7.736,-52
7.848,-52
7.961,-49
8.073,-49
8.188,-46
8.3,-45
8.413,-44
8.525,-47
8.64,-48
8.752,-47
8.865,-46
8.977,-45
9.089,-45
9.203,-45
9.319,-44
9.431,-43
9.543,-42
9.655,-42
9.771,-42
9.884,-43
9.996,-42
10.108,-43
10.224,-41
10.336,-40
10.448,-39
10.561,-38
10.676,-38
10.788,-37
10.901,-37
11.013,-38
11.128,-41
11.242,-41
11.354,-42
11.466,-42
11.582,-41
11.697,-41
11.809,-40
11.921,-40
12.034,-39
12.147,-39
12.26,-43
12.372,-43
12.485,-44
12.6,-46
12.712,-46
12.825,-47
12.937,-48
13.052,-48
13.166,-46
13.278,-47
13.391,-48
13.506,-50
13.622,-51
13.734,-50
13.846,-49
13.962,-49
14.077,-47
14.188,-46
14.3,-43
14.412,-41
14.524,-40
14.637,-41
14.749,-42
14.862,-43
14.975,-43
15.091,-47
15.202,-53
15.315,-57
15.429,-54
15.544,-51
15.656,-50
15.768,-52
15.881,-49
15.993,-43
16.106,-34
16.217,-39
16.329,-41
16.442,-44
16.557,-44
16.67,-46
16.782,-47
16.894,-48
17.006,-48
17.119,-54
17.23,-57
17.342,-58
17.458,-55
17.572,-50
17.684,-48
17.797,-46
17.909,-44
18.024,-42
18.135,-42
18.247,-41
18.359,-41
18.475,-41
18.587,-41
18.7,-39
18.812,-39
18.928,-39
19.043,-39
19.154,-40
19.267,-43
19.378,-43
19.49,-45
19.603,-46
19.718,-47
19.831,-48
19.943,-47
20.056,-47
20.167,-45
20.279,-45
20.391,-46
20.504,-48
20.619,-49
20.734,-49
20.846,-46
20.958,-43
21.074,-43
21.186,-46
21.298,-48
21.41,-52
21.522,-53
21.635,-53
21.75,-47
21.863,-47
21.975,-47
22.087,-44
22.2,-41
22.315,-39
22.427,-38
22.54,-38
22.651,-39
22.766,-39
22.88,-40
22.992,-41
23.104,-40
23.219,-40
23.333,-40
23.446,-41
23.558,-40
23.673,-40
23.789,-41
23.902,-41
24.014,-42
24.127,-42
24.243,-43
24.355,-43
24.468,-43
24.583,-40
24.695,-40
24.808,-40
24.919,-42
25.031,-42
25.142,-42
25.253,-41
25.366,-40
25.478,-41
25.589,-40
25.704,-39
25.816,-39
25.929,-39
26.041,-39
26.152,-39
26.263,-39
26.378,-40
26.494,-41
26.606,-42
26.719,-44
26.831,-43
26.946,-42
27.062,-43
27.174,-43
27.289,-44
27.404,-44
27.516,-45
27.629,-45
27.744,-48
27.859,-48
27.972,-48
28.084,-48
28.199,-49
28.315,-49
28.427,-48
28.54,-48
28.655,-48
28.771,-47
28.883,-45
28.995,-45
29.107,-44
29.222,-44
29.334,-45
29.447,-45
29.558,-46
29.673,-47
29.788,-47
29.9,-47
30.013,-47
30.127,-47
30.242,-47
30.354,-47
30.467,-48
30.579,-47
30.694,-47
30.809,-48
30.921,-47
31.033,-46
31.147,-47
31.263,-47
31.375,-46
31.487,-46
31.6,-45
31.715,-45
31.828,-45
31.94,-45
32.052,-45
32.167,-45
32.278,-45
32.389,-46
32.501,-46
32.616,-46
32.728,-46
32.843,-46
32.956,-46
33.069,-46
33.182,-45
33.297,-45
33.412,-45
33.524,-43
33.637,-44
33.749,-43
33.864,-43
33.976,-43
34.087,-43
34.2,-43
34.315,-43
34.427,-43
34.54,-43
34.652,-43
34.764,-44
34.88,-44
34.995,-44
35.107,-44
35.219,-45
35.332,-44
35.444,-45
35.557,-44
35.671,-44
35.783,-44
35.895,-44
36.008,-44
36.123,-45
36.236,-44
36.347,-45
36.459,-44
36.574,-44
36.687,-43
36.799,-43
36.912,-45
37.024,-45
37.14,-44
37.252,-43
37.365,-43
37.477,-44
37.592,-45
37.704,-46
37.816,-47
37.928,-46
38.04,-46
38.152,-46
38.267,-46
38.379,-45
38.492,-45
38.604,-44
38.719,-44
38.832,-45
38.944,-44
39.056,-43
39.171,-43
39.285,-45
39.397,-45
39.51,-44
39.625,-43
39.74,-44
39.852,-44
39.965,-43
40.08,-43
40.194,-43
40.307,-44
40.419,-44
40.535,-45
40.65,-45
40.762,-45
40.873,-44
40.986,-44
41.101,-42
41.214,-43
41.326,-43
41.441,-44
41.556,-45
41.668,-44
41.779,-43
41.892,-43
42.007,-43
42.12,-44
42.231,-44
42.343,-44
42.459,-43
42.573,-43
42.685,-43
42.798,-44
42.913,-43
43.028,-44
43.14,-44
43.251,-44
43.367,-44
43.482,-43
43.595,-43
43.707,-43
43.823,-44
43.938,-44
44.051,-44
44.162,-43
44.278,-43
44.392,-44
44.505,-45
44.617,-45
44.729,-44
44.844,-43
44.956,-43
