t,dbm
0.008,-65
0.115,-66
0.226,-66
0.336,-65
0.444,-65
0.552,-63
0.66,-65
0.768,-67
0.878,-68
0.986,-67
1.093,-63
1.204,-64
1.315,-67
1.423,-70
1.531,-70
1.639,-69
1.746,-67
1.854,-64
1.962,-63
2.07,-63
2.177,-66
2.288,-66
2.397,-67
2.504,-69
2.612,-69
2.72,-69
2.83,-69
2.943,-70
3.054,-73
3.165,-73
3.277,-73
3.391,-73
3.503,-73
3.615,-73
3.73,-73
3.842,-74
3.958,-74
4.07,-74
4.182,-77
4.295,-77
4.407,-70
4.522,-70
4.638,-65
4.75,-65
4.861,-64
4.973,-63
5.089,-62
5.201,-61
5.314,-61
5.425,-63
5.539,-66
5.652,-69
5.764,-69
5.876,-67
5.991,-68
6.105,-69
6.217,-71
6.329,-75
6.441,-75
6.556,-74
6.667,-72
6.78,-70
6.892,-68
7.007,-68
7.118,-68
7.23,-68
7.342,-68
7.455,-68
7.567,-68
7.678,-67
7.793,-68
7.907,-68
8.022,-68
8.137,-68
8.251,-68
8.363,-71
8.475,-71
8.586,-72
8.702,-72
8.814,-71
8.926,-72
9.039,-72
9.151,-73
9.264,-73
9.376,-73
9.487,-72
9.599,-71
9.715,-71
9.83,-71
9.946,-71
10.058,-71
10.171,-71
10.283,-71
10.399,-71
10.51,-73
10.622,-73
10.735,-73
10.847,-74
10.959,-74
11.072,-76
11.184,-76
11.299,-76
11.414,-75
11.526,-74
11.638,-72
11.751,-71
11.863,-67
11.975,-66
12.088,-66
12.2,-66
12.312,-66
12.425,-66
12.539,-66
12.654,-66
12.766,-66
12.878,-66
12.989,-66
13.104,-66
13.22,-65
13.332,-65
13.444,-65
13.556,-66
13.669,-66
13.786,-67
13.895,-67
14.005,-67
14.113,-67
14.224,-67
14.334,-67
14.443,-67
14.551,-66
14.659,-66
14.767,-67
14.875,-67
14.986,-67
15.097,-66
15.204,-66
15.312,-67
15.42,-67
15.528,-67
15.636,-67
15.747,-67
15.855,-67
15.965,-67
16.073,-67
16.181,-67
16.289,-67
16.396,-67
16.504,-67
16.612,-67
16.723,-66
16.831,-66
16.942,-66
17.053,-66
17.161,-66
17.269,-66
17.377,-66
17.484,-66
17.592,-67
17.7,-67
17.808,-67
17.916,-66
18.024,-66
18.132,-66
18.239,-67
18.347,-68
18.455,-67
18.566,-67
18.674,-66
18.782,-66
18.894,-67
19.006,-67
19.118,-68
19.231,-69
19.346,-69
19.457,-69
19.569,-70
19.682,-70
19.794,-70
19.91,-70
20.025,-71
20.137,-71
20.25,-71
20.362,-71
20.473,-71
20.587,-70
20.702,-70
20.815,-70
20.927,-70
21.039,-71
21.152,-71
21.264,-70
21.379,-70
21.494,-71
21.609,-71
21.721,-71
21.834,-71
21.946,-71
22.058,-71
22.174,-72
22.286,-71
22.4,-71
22.513,-71
22.626,-70
22.738,-71
22.85,-70
22.962,-71
23.074,-71
23.189,-71
23.305,-70
23.42,-70
23.535,-70
23.65,-69
23.762,-69
23.874,-69
23.986,-69
24.099,-69
24.213,-68
24.329,-68
24.44,-69
24.552,-69
24.664,-69
24.777,-69
24.889,-71
25.0,-71
25.115,-71
25.231,-71
25.347,-71
25.458,-72
25.571,-72
25.683,-73
25.794,-77
25.907,-80
26.018,-82
26.13,-82
26.246,-83
26.359,-82
26.472,-82
26.583,-81
26.695,-81
26.811,-81
26.926,-82
27.038,-82
27.151,-81
27.263,-81
27.374,-81
27.486,-82
27.598,-82
27.71,-82
27.823,-82
27.935,-81
28.047,-80
28.159,-80
28.272,-80
28.384,-80
28.496,-82
28.608,-82
28.723,-82
28.839,-82
28.953,-82
29.066,-82
29.179,-82
29.291,-82
29.402,-81
29.515,-81
29.627,-81
29.742,-81
29.854,-81
29.966,-81
30.078,-81
30.191,-81
30.303,-81
30.414,-81
30.527,-82
30.642,-83
30.755,-82
30.867,-82
30.979,-82
31.095,-82
31.21,-81
31.323,-80
31.434,-80
31.546,-80
31.662,-80
31.774,-80
31.887,-80
31.999,-80
32.112,-79
32.224,-79
32.339,-79
32.454,-78
32.565,-78
32.677,-78
32.789,-77
32.902,-77
33.014,-77
33.126,-76
33.239,-76
33.354,-76
33.465,-76
33.578,-76
33.69,-76
33.801,-76
33.917,-76
34.029,-77
34.141,-76
34.253,-77
34.367,-77
34.482,-77
34.594,-77
34.709,-77
34.822,-77
34.935,-77
35.047,-78
35.159,-78
35.272,-78
35.383,-78
35.496,-77
35.607,-76
35.719,-76
35.831,-76
35.947,-76
36.062,-75
36.174,-74
36.286,-75
36.398,-74
36.513,-74
36.626,-74
36.738,-73
36.851,-73
36.965,-73
37.078,-73
37.189,-73
37.302,-73
37.417,-74
37.531,-73
37.642,-73
37.755,-73
37.867,-72
37.98,-72
38.095,-72
38.207,-72
38.318,-72
38.429,-72
38.542,-72
38.653,-72
38.765,-72
38.877,-72
38.99,-73
39.102,-73
39.214,-73
39.326,-73
39.438,-74
39.553,-74
39.669,-74
39.781,-74
39.893,-74
40.005,-74
40.118,-74
40.23,-73
40.342,-73
40.457,-73
40.571,-73
40.684,-73
40.797,-73
40.908,-74
41.02,-74
41.132,-74
41.244,-76
41.359,-76
41.473,-75
41.586,-76
41.698,-76
41.813,-75
41.929,-75
42.043,-75
42.159,-74
42.274,-74
42.387,-74
42.498,-73
42.611,-73
42.723,-73
42.838,-73
42.954,-73
43.069,-73
43.182,-73
43.293,-74
43.405,-73
43.516,-73
43.629,-73
43.743,-73
43.859,-73
43.973,-73
44.086,-73
44.198,-73
44.31,-73
44.422,-73
44.533,-72
44.645,-72
44.758,-71
44.87,-72
44.982,-71
